VIN_NUMBER,MANUFACTURER,MODEL_YEAR,VEHICLE_TYPE,OIL_CHANGE_DISTANCE,ODOMETER,COMMENTS,DATE_TESTED,EXHAUST_HC,NON_EXHAUST_HC,EXHAUST_CO,EXHAUST_NO2
4TZZVITI24IVQA3R4,"Toyota",2004,LIGHT_DUTY_VEHICLE,288,4408,"Fluxum flap dum dum. Foo bar zany somethingnew any words will do. Just trying to make some 123456789realistic text to plug into the comment field. Llijihgph wpokrepoj slkaligihe; lkjslijlie jsill. jjjFluxum flap dum dum. Foo bar zany somethingnew any words will do. Just trying to make some 123456789realistic text to plug into the comment field. Llijihgph wpokrepoj slkaligihe; lkjslijlie jsill. jjjFluxum flap dum dum. Foo bar zany somethingnew any words will do. Just trying to make some 123456789realistic text to plug into the comment field. Llijihgph wpokrepoj slkaligihe; lkjslijlie jsill. jjjFluxum flap dum dum. Foo bar zany somethingnew any words will do. Just trying to make some 123456789realistic text to plug into the comment field. Llijihgph wpokrepoj slkaligihe; lkjslijlie jsill. jjjFluxum flap dum dum. Foo bar zany somethingnew any words will do. Just trying to make some 123456789Fluxum flap dum dum. Foo bar zany somethingnew any words will do. Just trying to make some 123456789realistic text to plug into the comment field. Llijihgph wpokrepoj slkaligihe; lkjslijlie jsill. jjjFluxum flap dum dum. Foo bar zany somethingnew any words will do. Just trying to make some 123456789realistic text to plug into the comment field. Llijihgph wpokrepoj slkaligihe; lkjslijlie jsill. jjjFluxum flap dum dum. Foo bar zany somethingnew any words will do. Just trying to make some 123456789realistic text to plug into the comment field. Llijihgph wpokrepoj slkaligihe; lkjslijlie jsill. jjjFluxum flap dum dum. Foo bar zany somethingnew any words will do. Just trying to make some 123456789realistic text to plug into the comment field. Llijihgph wpokrepoj slkaligihe; lkjslijlie jsill. jjjrealistic text to plug into the comment field. Llijihgph wpokrepoj slkaligihe; lkj",2004-2-28,0.7602326617291495,0.7969032408226471,12.674448139445948,1.4105724439798366
"","","","","","","",2004-7-27,0.4240318120604085,1.3403515897473275,19.686093657339974,4.259300581430083
"","","","","","","",2004-9-17,0.680800336767734,1.1156720188245968,16.54280496790182,4.994612043535001
1HRWBRMM68ZNT5XZ3,"Honda",2008,LIGHT_DUTY_VEHICLE,1439,48186,"Fluxum flap dum dum. Foo bar zany somethingnew any words will do. Just trying to make some 123456789realistic text to plug into the comment field. Llijihgph wpokrepoj slkaligihe; lkjslijlie jsill. jjjFluxum flap dum dum. Foo bar z",2008-11-15,0.47294693155466205,0.25779916731325353,9.447361475476058,0.8632370896548924
"","","","","","","",2008-6-9,1.6100000143051147,0.6800000071525574,14.59000015258789,1.25
1HTVUPFPK5BUAAXUW,"Honda",2005,LIGHT_DUTY_VEHICLE,1449,73957,"Fluxum flap dum dum. Foo bar zany somethingnew any words will do. Just trying to make some 123456789realistic text to plug into the comment field. Llijihgph wpokrepoj slkaligihe; lkjslijlie jsill. jjjFluxum flap dum dum. Foo bar zany somethingnew any words will do. Just trying to make some 123456789realistic text to plug into the comment field. Llijihgph wpokrepoj slkaligihe; lkjslijlie jsill. jjjFluxum flap dum dum. Foo bar zany somethingnew any words will do. Just trying to make some 123456789realistic text to plug into the comment field. Llijihgph wpokrepoj slkaligihe; lkjslijlie jsill. jjjFluxum flap dum dum. Foo bar zany somethingnew any words will do. Just trying to make some 123456789realistic text to plug into the comment field. Lliji",2005-2-15,0.35714652811041625,1.063500073054493,14.28560645396518,0.9583369112634746
2G1KUABQ3WZCWCKVJ,"Chevrolet (Canada)",1998,MOTORCYCLE,2332,130526,"Fluxum flap dum dum. Foo bar zany somethingnew any words will do. Just trying to make some 123456789realistic text to plug into the comment field. Llijihgph wpokrepoj slkaligihe; lkjslijlie jsill. jjjFluxum flap dum dum. Foo bar zany somethingnew any words will do. Just trying to make some 123456789realistic text to plug into the comment field. Llijihgph wpokrepoj slkaligihe; lkjslijlie jsill. jjjFluxum flap dum dum. Foo bar zany somethingnew any words will do. Just trying to make some 123456789realistic text to plug into the comment field. Llijihgph wpokrepoj slkaligihe; lkjslijlie jsill. jjjFluxum flap dum dum. Foo bar zany somethingnew any words will do. Just trying to make some 123456789realistic text to plug into the comment field. Llijihgph wpokrepoj slkaligihe; lkjslijlie jsill. jjjFluxum flap dum dum. Foo bar zany somethingnew any words will do. Just trying to make some 123456789Fluxum flap dum dum. Foo bar zany somethingnew",1998-11-0,1.6200000047683716,0.699999988079071,14.59000015258789,1.25
"","","","","","","",1998-9-16,1.3671724372900123,1.1630536290127702,20.200254569393735,0.7849150375926345
"","","","","","","",1998-12-24,1.6200000047683716,0.699999988079071,14.59000015258789,1.25
"","","","","","","",1998-9-19,1.3361596635793453,0.8005018336970218,29.440267203703012,0.6456709475839161
2GYISBTVU7ATUHF8G,"General Motors (Canada)",2007,MOTORCYCLE,539,65545,"Fluxum flap dum dum. Foo bar zany somethingnew any words will do. Just trying to make some 123456789realistic text to plug into the comment field. Llijihgph wpokrepoj slkaligihe; lkjslijlie jsill. jjjFluxum flap dum dum. Foo bar zany somethingnew any words will do. Just trying to make some 123456789realistic text to plug into the comment field. Llijihgph wpokrepoj slkaligihe; lkjslijlie jsill. jjjFluxum flap dum dum. Foo bar zany somethingnew any words will do. Just trying to make some 123456789realistic text to plug into the comment field. Llijihgph wpokrepoj slkaligihe; lkjslijlie jsill. jjjFluxum flap dum dum. Foo bar zany somethingnew any words will do. Just trying to make some 123456789realistic text to plug into the comment field. Llijihgph wpokrepoj slkaligihe; lkjslijlie jsill. jjjFluxum flap dum dum. Foo bar zany somethingnew any words will do. Just trying to make some 123456789Fluxum flap dum dum. Foo bar zany somethingnew any words will do. Just trying to make some 123456789realistic text to plug into the comment field. Llijihgph wpokrepoj slkaligihe; lkjslijlie jsill. jjjFluxum flap dum dum. Foo bar zany somethingnew any words will do. Just trying to make some 123456789realistic text to plug into the comment field. Llijihgph wpokrepoj slkaligihe; lkjslijlie jsill. jjjFluxum flap dum dum. Foo bar zany somethingnew any words will do. Just trying to make some 123456789realistic text to plug into the comment field. Llijihgph wpokrepoj slkaligihe; lkjslijlie jsill. jjjFlu",2007-6-3,1.6100000143051147,0.6800000071525574,14.59000015258789,1.25
"","","","","","","",2007-8-4,0.4774571193565276,0.7849252899223517,8.631383636591027,1.130709385738513
"","","","","","","",2007-12-7,1.6100000143051147,0.6800000071525574,14.59000015258789,1.25
